cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
cameta,10,9,LinearSVR,6,0.6509647393390493,0
timon,10,9,LinearSVR,6,0.5592862469482617,0
rio-de-janeiro,10,9,LinearSVR,6,87.55011606442882,0
braganca,10,9,LinearSVR,6,0.5706495431570969,0
marituba,10,9,LinearSVR,6,0.4761635015335153,0
belford-roxo,10,9,LinearSVR,6,1.632237328863916,0
castanhal,10,9,LinearSVR,6,0.6571599087747949,0
itaborai,10,9,LinearSVR,6,1.1254189142762432,0
maranguape,10,9,LinearSVR,6,1.7683012503680815,0
fortaleza,10,9,LinearSVR,6,42.62877936551222,0
parauapebas,10,9,LinearSVR,6,2.7834418357859896,0
juazeiro,10,9,LinearSVR,6,3.7563570481096153,0
barra-mansa,10,9,LinearSVR,6,1.137441890676215,0
maracanau,10,9,LinearSVR,6,1.486722804750292,0
parnaiba,10,9,LinearSVR,6,1.7174735041090512,0
tailandia,10,9,LinearSVR,6,0.5480654757199492,0
itaguai,10,9,LinearSVR,6,0.8512207254407047,0
ananindeua,10,9,LinearSVR,6,0.541800490164588,0
belem,10,9,LinearSVR,6,2.842344989670349,0
barcarena,10,9,LinearSVR,6,0.31497206002210104,0
