cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
franca,4,0,LinearSVR,6,37.53181237447796,0
catalao,4,0,LinearSVR,6,23.354697567663436,0
nova-serrana,4,0,LinearSVR,6,57.65722547437871,0
trindade,4,0,LinearSVR,6,6.155655004189895,0
nossa-senhora-do-socorro,4,0,LinearSVR,6,8.824685125615911,0
formosa,4,0,LinearSVR,6,20.826611270551208,0
ibirite,4,0,LinearSVR,6,68.84702784018502,0
assis,4,0,LinearSVR,6,22.355162261529536,0
feira-de-santana,4,0,LinearSVR,6,62.90103853305766,0
aguas-lindas-de-goias,4,0,LinearSVR,6,25.294775390748466,0
barra-do-pirai,4,0,LinearSVR,6,8.31392143143578,0
araraquara,4,0,LinearSVR,6,160.76175166197933,0
carapicuiba,4,0,LinearSVR,6,27.040175440518706,0
parnamirim,4,0,LinearSVR,6,13.517785500528666,0
araguaina,4,0,LinearSVR,6,12.305349285867575,0
paulo-afonso,4,0,LinearSVR,6,2.4593152854847022,0
poa,4,0,LinearSVR,6,2.8622853628292675,0
serra,4,0,LinearSVR,6,85.21917378620141,0
santa-luzia,4,0,LinearSVR,6,68.5390235571277,0
santa-barbara-doeste,4,0,LinearSVR,6,33.79020791439782,0
birigui,4,0,LinearSVR,6,50.17571105964033,0
lagarto,4,0,LinearSVR,6,3.4677995338826326,0
bauru,4,0,LinearSVR,6,153.2125723903624,0
campo-grande,4,0,LinearSVR,6,314.8554018332481,0
jundiai,4,0,LinearSVR,6,22.065586799003952,0
camacari,4,0,LinearSVR,6,10.508846097249553,0
belo-horizonte,4,0,LinearSVR,6,803.7164781988819,0
santa-cruz-do-sul,4,0,LinearSVR,6,0.9501677703622187,0
uberlandia,4,0,LinearSVR,6,197.0495951778394,0
aracatuba,4,0,LinearSVR,6,64.32599884308041,0
joao-pessoa,4,0,LinearSVR,6,67.19775716718023,0
contagem,4,0,LinearSVR,6,214.56840119405643,0
divinopolis,4,0,LinearSVR,6,36.758118561554795,0
francisco-morato,4,0,LinearSVR,6,18.67059072725878,0
dourados,4,0,LinearSVR,6,41.54121660950304,0
pelotas,4,0,LinearSVR,6,0.22238633032047753,0
suzano,4,0,LinearSVR,6,4.673527679936423,0
itatiba,4,0,LinearSVR,6,2.252457235682769,0
goiania,4,0,LinearSVR,6,145.64859443058754,0
sao-lourenco-da-mata,4,0,LinearSVR,6,5.8253821126714636,0
piracicaba,4,0,LinearSVR,6,33.58947926049611,0
presidente-prudente,4,0,LinearSVR,6,82.59943903440231,0
guarapari,4,0,LinearSVR,6,17.13532339653723,0
palmas,4,0,LinearSVR,6,37.30444389117416,0
juiz-de-fora,4,0,LinearSVR,6,73.57599551415356,0
iguatu,4,0,LinearSVR,6,13.443862345442625,0
betim,4,0,LinearSVR,6,276.72987776894416,0
aracaju,4,0,LinearSVR,6,15.902932305564521,0
sao-carlos,4,0,LinearSVR,6,45.169126086447314,0
caraguatatuba,4,0,LinearSVR,6,31.329244508404393,0
sao-mateus,4,0,LinearSVR,6,15.664595659634521,0
porto-alegre,4,0,LinearSVR,6,6.760397003620554,0
tres-lagoas,4,0,LinearSVR,6,67.67673432598036,0
linhares,4,0,LinearSVR,6,30.308415534253868,0
lauro-de-freitas,4,0,LinearSVR,6,2.7943866653600904,0
sao-jose-do-rio-preto,4,0,LinearSVR,6,185.37640830161126,0
santo-antonio-de-jesus,4,0,LinearSVR,6,4.962584237448024,0
patos-de-minas,4,0,LinearSVR,6,63.47016692572967,0
campina-grande,4,0,LinearSVR,6,2.7702253053770707,0
araguari,4,0,LinearSVR,6,28.418047203234963,0
anapolis,4,0,LinearSVR,6,67.70920700652736,0
canoas,4,0,LinearSVR,6,3.4419202774904725,0
montes-claros,4,0,LinearSVR,6,131.6464853090159,0
