cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
sao-jose-do-rio-preto,6,0,LinearSVR,6,142.15843582249042,0
suzano,6,0,LinearSVR,6,4.541855227369345,0
franca,6,0,LinearSVR,6,36.63493137150406,0
montes-claros,6,0,LinearSVR,6,129.49834196762512,0
nova-serrana,6,0,LinearSVR,6,57.88976002888989,0
joao-pessoa,6,0,LinearSVR,6,61.133229072445154,0
iguatu,6,0,LinearSVR,6,12.928753358498799,0
paulo-afonso,6,0,LinearSVR,6,2.3118581676907617,0
campo-grande,6,0,LinearSVR,6,285.8347450039388,0
feira-de-santana,6,0,LinearSVR,6,54.02622961026991,0
aracatuba,6,0,LinearSVR,6,57.02759549663472,0
santo-antonio-de-jesus,6,0,LinearSVR,6,4.6583394969424985,0
porto-alegre,6,0,LinearSVR,6,6.733738621777243,0
linhares,6,0,LinearSVR,6,29.398739445342386,0
nossa-senhora-do-socorro,6,0,LinearSVR,6,8.252032973843704,0
betim,6,0,LinearSVR,6,213.459592630961,0
sao-carlos,6,0,LinearSVR,6,39.82188615131991,0
araraquara,6,0,LinearSVR,6,132.78232327287904,0
formosa,6,0,LinearSVR,6,19.29943241898686,0
itatiba,6,0,LinearSVR,6,2.3899093284964223,0
anapolis,6,0,LinearSVR,6,54.109961042099556,0
santa-luzia,6,0,LinearSVR,6,69.29880300063462,0
campina-grande,6,0,LinearSVR,6,2.646666345402708,0
catalao,6,0,LinearSVR,6,24.03937349181427,0
camacari,6,0,LinearSVR,6,10.927901682048965,0
patos-de-minas,6,0,LinearSVR,6,58.637972766601344,0
ibirite,6,0,LinearSVR,6,58.9300851886683,0
bauru,6,0,LinearSVR,6,120.30607844705303,0
canoas,6,0,LinearSVR,6,3.414687138324157,0
cachoeirinha,6,0,LinearSVR,6,0.3853795419969046,0
sapucaia-do-sul,6,0,LinearSVR,6,0.6455916688061376,0
poa,6,0,LinearSVR,6,2.798886236367227,0
carapicuiba,6,0,LinearSVR,6,25.567014436158736,0
dourados,6,0,LinearSVR,6,39.5860685924682,0
francisco-morato,6,0,LinearSVR,6,18.038144833523745,0
pelotas,6,0,LinearSVR,6,0.13949401375466025,0
uberlandia,6,0,LinearSVR,6,162.136341774994,0
lagarto,6,0,LinearSVR,6,3.5104615032084214,0
belo-horizonte,6,0,LinearSVR,6,651.7863967570661,0
araguari,6,0,LinearSVR,6,27.779435589431017,0
santa-cruz-do-sul,6,0,LinearSVR,6,0.9544408854768318,0
santa-barbara-doeste,6,0,LinearSVR,6,29.85226224015898,0
tres-lagoas,6,0,LinearSVR,6,62.786433801885885,0
presidente-prudente,6,0,LinearSVR,6,74.0009726527416,0
birigui,6,0,LinearSVR,6,42.42654133910396,0
jundiai,6,0,LinearSVR,6,19.284671765860455,0
contagem,6,0,LinearSVR,6,167.29510781110133,0
sao-lourenco-da-mata,6,0,LinearSVR,6,5.644610354172373,0
