cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
jaragua-do-sul,11,5,RandomForestRegressor,6,0.7651323602230692,0
piraquara,11,5,RandomForestRegressor,6,0.34111630219195427,0
almirante-tamandare,11,5,RandomForestRegressor,6,0.47391972917121733,0
colombo,11,5,RandomForestRegressor,6,0.5610764782437606,0
caxias-do-sul,11,5,RandomForestRegressor,6,0.5502458718858568,0
pelotas,11,5,RandomForestRegressor,6,0.11899861356582352,0
bento-goncalves,11,5,RandomForestRegressor,6,0.15223996419646593,0
blumenau,11,5,RandomForestRegressor,6,1.026864736778299,0
bage,11,5,RandomForestRegressor,6,0.11899861356582352,0
criciuma,11,5,RandomForestRegressor,6,0.22411161661636428,0
campo-largo,11,5,RandomForestRegressor,6,0.2612636408655178,0
novo-hamburgo,11,5,RandomForestRegressor,6,0.5105538721521286,0
rio-grande,11,5,RandomForestRegressor,6,0.22411161661636422,0
codo,11,5,RandomForestRegressor,6,0.2988499985230946,0
sao-leopoldo,11,5,RandomForestRegressor,6,0.24339752129048733,0
fazenda-rio-grande,11,5,RandomForestRegressor,6,0.24339752129048733,0
erechim,11,5,RandomForestRegressor,6,0.24952417039917113,0
tubarao,11,5,RandomForestRegressor,6,0.2030016749547827,0
lages,11,5,RandomForestRegressor,6,0.17942503550645947,0
sapucaia-do-sul,11,5,RandomForestRegressor,6,0.5529832527034325,0
guarapuava,11,5,RandomForestRegressor,6,0.2030016749547827,0
pinhais,11,5,RandomForestRegressor,6,0.5447298440891081,0
cachoeirinha,11,5,RandomForestRegressor,6,0.3135724131444069,0
sao-jose,11,5,RandomForestRegressor,6,0.7226822496254369,0
passo-fundo,11,5,RandomForestRegressor,6,0.3865866760650894,0
palhoca,11,5,RandomForestRegressor,6,0.42719392146872265,0
araucaria,11,5,RandomForestRegressor,6,0.3087194519983561,0
