cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
mogi-guacu,3,2,RandomForestRegressor,6,23.032716429087735,2
jatai,3,2,RandomForestRegressor,6,21.494795103640982,2
ferraz-de-vasconcelos,3,2,RandomForestRegressor,6,1.4903239663157541,2
americana,3,2,RandomForestRegressor,6,56.00969204785363,2
recife,3,2,RandomForestRegressor,6,21.79749346106523,2
cotia,3,2,RandomForestRegressor,6,2.0529486568908193,2
guarapuava,3,2,RandomForestRegressor,6,0.6193163964920855,2
sao-jose-dos-campos,3,2,RandomForestRegressor,6,5.66333874777075,2
campinas,3,2,RandomForestRegressor,6,283.29557461602053,2
santana-de-parnaiba,3,2,RandomForestRegressor,6,1.6040173604651884,2
olinda,3,2,RandomForestRegressor,6,4.416017147050758,2
viamao,3,2,RandomForestRegressor,6,1.2649793360553865,2
caxias,3,2,RandomForestRegressor,6,2.8879798754215185,2
paranagua,3,2,RandomForestRegressor,6,22.477714210979574,2
ribeirao-preto,3,2,RandomForestRegressor,6,265.2902661363533,2
camaragibe,3,2,RandomForestRegressor,6,3.6987890870920346,2
valinhos,3,2,RandomForestRegressor,6,6.3381710805125895,2
araras,3,2,RandomForestRegressor,6,7.923447410444054,2
sao-paulo,3,2,RandomForestRegressor,6,208.32771374013032,2
jacarei,3,2,RandomForestRegressor,6,7.5417097012528584,2
itapevi,3,2,RandomForestRegressor,6,1.4660519218548462,2
vitoria-de-santo-antao,3,2,RandomForestRegressor,6,1.6488791107479823,2
varginha,3,2,RandomForestRegressor,6,2.4332093299134563,2
breves,3,2,RandomForestRegressor,6,0.6171377487714048,2
goiania,3,2,RandomForestRegressor,6,261.30100357367286,2
sao-caetano-do-sul,3,2,RandomForestRegressor,6,1.4408617990965678,2
indaiatuba,3,2,RandomForestRegressor,6,4.995032485840227,2
itabira,3,2,RandomForestRegressor,6,7.697749631350303,2
ilheus,3,2,RandomForestRegressor,6,4.2419849911314715,2
osasco,3,2,RandomForestRegressor,6,6.042500106979654,2
resende,3,2,RandomForestRegressor,6,5.6079893995232455,2
pouso-alegre,3,2,RandomForestRegressor,6,1.1616854468100462,2
sao-carlos,3,2,RandomForestRegressor,6,50.6274840077718,2
marilia,3,2,RandomForestRegressor,6,22.697283757190412,2
pocos-de-caldas,3,2,RandomForestRegressor,6,1.0603358348461243,2
mossoro,3,2,RandomForestRegressor,6,17.194449713694304,2
santa-cruz-do-capibaribe,3,2,RandomForestRegressor,6,1.7383700964273585,2
itanhaem,3,2,RandomForestRegressor,6,11.09698602033086,2
itaquaquecetuba,3,2,RandomForestRegressor,6,3.452951368598403,2
caraguatatuba,3,2,RandomForestRegressor,6,30.009986610251175,2
chapeco,3,2,RandomForestRegressor,6,1.8508374087030701,2
rio-claro,3,2,RandomForestRegressor,6,14.45531175554797,2
mairipora,3,2,RandomForestRegressor,6,0.7857155664729274,2
petropolis,3,2,RandomForestRegressor,6,1.136849987452274,2
tatui,3,2,RandomForestRegressor,6,5.043603835962817,2
colombo,3,2,RandomForestRegressor,6,0.7233646041294949,2
muriae,3,2,RandomForestRegressor,6,21.097772600658054,2
araxa,3,2,RandomForestRegressor,6,9.06342475492754,2
eunapolis,3,2,RandomForestRegressor,6,9.17539835267732,2
barra-do-pirai,3,2,RandomForestRegressor,6,9.995634793424829,2
ji-parana,3,2,RandomForestRegressor,6,0.7079285864680026,2
natal,3,2,RandomForestRegressor,6,48.98752960284215,2
barbacena,3,2,RandomForestRegressor,6,1.4190763270372013,2
jandira,3,2,RandomForestRegressor,6,1.0490531035421127,2
pindamonhangaba,3,2,RandomForestRegressor,6,11.844384671390321,2
itajai,3,2,RandomForestRegressor,6,2.881594472914692,2
lavras,3,2,RandomForestRegressor,6,3.9670169118715695,2
nova-friburgo,3,2,RandomForestRegressor,6,0.6906719733375406,2
diadema,3,2,RandomForestRegressor,6,5.394237394421678,2
trindade,3,2,RandomForestRegressor,6,5.660988132898617,2
garanhuns,3,2,RandomForestRegressor,6,7.96992848435342,2
cabo-de-santo-agostinho,3,2,RandomForestRegressor,6,11.619398412274867,2
guarulhos,3,2,RandomForestRegressor,6,55.2775144191329,2
santa-rita,3,2,RandomForestRegressor,6,4.8284989405529,2
barueri,3,2,RandomForestRegressor,6,3.365642775190038,2
maua,3,2,RandomForestRegressor,6,6.299214294017534,2
curitiba,3,2,RandomForestRegressor,6,3.5630292196954283,2
sao-bernardo-do-campo,3,2,RandomForestRegressor,6,5.248888310298546,2
sorocaba,3,2,RandomForestRegressor,6,13.310302309705474,2
sobral,3,2,RandomForestRegressor,6,1.1355362223769851,2
uba,3,2,RandomForestRegressor,6,11.514519753324079,2
embu-das-artes,3,2,RandomForestRegressor,6,2.1147569733793166,2
igarassu,3,2,RandomForestRegressor,6,10.987772917095592,2
itu,3,2,RandomForestRegressor,6,2.3386050137288596,2
taboao-da-serra,3,2,RandomForestRegressor,6,1.7869378058528815,2
catanduva,3,2,RandomForestRegressor,6,157.4154502155256,2
itapetininga,3,2,RandomForestRegressor,6,2.299159130832893,2
bento-goncalves,3,2,RandomForestRegressor,6,0.6236508598362958,2
franco-da-rocha,3,2,RandomForestRegressor,6,5.709930586365636,2
itapecerica-da-serra,3,2,RandomForestRegressor,6,0.871436262054763,2
botucatu,3,2,RandomForestRegressor,6,1.8969900301715747,2
gravatai,3,2,RandomForestRegressor,6,0.6171377487714048,2
sao-jose-de-ribamar,3,2,RandomForestRegressor,6,2.1251367800789343,2
hortolandia,3,2,RandomForestRegressor,6,14.664619730515703,2
salto,3,2,RandomForestRegressor,6,3.3249349818772718,2
varzea-paulista,3,2,RandomForestRegressor,6,8.248348459545184,2
conselheiro-lafaiete,3,2,RandomForestRegressor,6,2.4521188238855505,2
jau,3,2,RandomForestRegressor,6,13.7968928414914,2
alvorada,3,2,RandomForestRegressor,6,0.6612689703369771,2
senador-canedo,3,2,RandomForestRegressor,6,12.166370452623013,2
jundiai,3,2,RandomForestRegressor,6,22.80005660922555,2
caruaru,3,2,RandomForestRegressor,6,1.8580663018132155,2
cachoeiro-de-itapemirim,3,2,RandomForestRegressor,6,64.351707749736,2
arapiraca,3,2,RandomForestRegressor,6,32.218839082130295,2
limeira,3,2,RandomForestRegressor,6,11.87089839150683,2
ribeirao-pires,3,2,RandomForestRegressor,6,0.9171159804833782,2
braganca-paulista,3,2,RandomForestRegressor,6,2.5480848444198636,2
assis,3,2,RandomForestRegressor,6,19.84228112333433,2
bacabal,3,2,RandomForestRegressor,6,0.6171377487714048,2
sumare,3,2,RandomForestRegressor,6,20.237346466645995,2
santo-andre,3,2,RandomForestRegressor,6,4.454772086868334,2
votorantim,3,2,RandomForestRegressor,6,3.5888300193362195,2
teresopolis,3,2,RandomForestRegressor,6,0.7032058852780213,2
mogi-das-cruzes,3,2,RandomForestRegressor,6,2.1295361152517107,2
