cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
nova-friburgo,10,8,LGBMRegressor,6,3.7080279659777164,0
bacabal,10,8,LGBMRegressor,6,3.7904731244089698,0
sao-jose-dos-campos,10,8,LGBMRegressor,6,9.251039781814685,0
mairipora,10,8,LGBMRegressor,6,3.57588125661841,0
teresopolis,10,8,LGBMRegressor,6,3.620801521003331,0
rio-claro,10,8,LGBMRegressor,6,18.602103756156616,0
tatui,10,8,LGBMRegressor,6,5.84621340169535,0
itabuna,10,8,LGBMRegressor,6,4.938521952973993,0
ilheus,10,8,LGBMRegressor,6,5.553879841521895,0
diadema,10,8,LGBMRegressor,6,7.519918621747541,0
chapeco,10,8,LGBMRegressor,6,4.100523758883568,0
guarulhos,10,8,LGBMRegressor,6,49.61072603141734,0
catanduva,10,8,LGBMRegressor,6,60.35542563350199,0
braganca-paulista,10,8,LGBMRegressor,6,4.325351422257999,0
itaquaquecetuba,10,8,LGBMRegressor,6,5.246454582534564,0
jau,10,8,LGBMRegressor,6,15.908512604551143,0
paranagua,10,8,LGBMRegressor,6,26.187181494268387,0
lavras,10,8,LGBMRegressor,6,5.8133021783552215,0
taboao-da-serra,10,8,LGBMRegressor,6,4.029058911018326,0
embu-das-artes,10,8,LGBMRegressor,6,4.01278956563105,0
conselheiro-lafaiete,10,8,LGBMRegressor,6,4.014115913083826,0
barueri,10,8,LGBMRegressor,6,5.037463630311731,0
garanhuns,10,8,LGBMRegressor,6,9.525040269730493,0
pouso-alegre,10,8,LGBMRegressor,6,3.3348691674512447,0
cubatao,10,8,LGBMRegressor,6,9.348563600408022,0
botucatu,10,8,LGBMRegressor,6,3.341482891699949,0
viamao,10,8,LGBMRegressor,6,3.670718755796902,0
varginha,10,8,LGBMRegressor,6,3.907682998799775,0
hortolandia,10,8,LGBMRegressor,6,17.63125363636888,0
santana-de-parnaiba,10,8,LGBMRegressor,6,3.206571828308442,0
itapetininga,10,8,LGBMRegressor,6,3.8727388038448374,0
jandira,10,8,LGBMRegressor,6,3.470070458283262,0
santo-andre,10,8,LGBMRegressor,6,6.063637067753111,0
itapecerica-da-serra,10,8,LGBMRegressor,6,3.5611040743450197,0
jacarei,10,8,LGBMRegressor,6,9.025300617069266,0
sao-caetano-do-sul,10,8,LGBMRegressor,6,3.4526144967434864,0
sumare,10,8,LGBMRegressor,6,26.058563425735155,0
mogi-guacu,10,8,LGBMRegressor,6,24.532631290893956,0
marilia,10,8,LGBMRegressor,6,28.376734977369512,0
limeira,10,8,LGBMRegressor,6,17.43638906028809,0
leme,10,8,LGBMRegressor,6,38.573833416561975,0
eunapolis,10,8,LGBMRegressor,6,9.004902852706472,0
gravatai,10,8,LGBMRegressor,6,3.7904731244089698,0
resende,10,8,LGBMRegressor,6,6.262542341195452,0
alvorada,10,8,LGBMRegressor,6,3.7522835158405496,0
caieiras,10,8,LGBMRegressor,6,3.665643253574706,0
itu,10,8,LGBMRegressor,6,3.259326680645978,0
itajai,10,8,LGBMRegressor,6,4.445645653367857,0
itapevi,10,8,LGBMRegressor,6,3.5959801416182424,0
sorocaba,10,8,LGBMRegressor,6,17.5615176020202,0
pindamonhangaba,10,8,LGBMRegressor,6,16.01542256755615,0
teofilo-otoni,10,8,LGBMRegressor,6,11.62748480379221,0
mogi-das-cruzes,10,8,LGBMRegressor,6,4.029959003424551,0
barbacena,10,8,LGBMRegressor,6,3.3652032086708954,0
ourinhos,10,8,LGBMRegressor,6,15.768508672433205,0
parintins,10,8,LGBMRegressor,6,3.6966008872625418,0
cotia,10,8,LGBMRegressor,6,3.224105064568623,0
itanhaem,10,8,LGBMRegressor,6,10.758197904921929,0
votorantim,10,8,LGBMRegressor,6,4.979536002381643,0
petropolis,10,8,LGBMRegressor,6,3.4953538923385388,0
