cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
erechim,10,5,LGBMRegressor,6,0.24926275650698793,0
almirante-tamandare,10,5,LGBMRegressor,6,0.47434138682347704,0
criciuma,10,5,LGBMRegressor,6,0.22392817983430954,0
pelotas,10,5,LGBMRegressor,6,0.11783747976911943,0
bento-goncalves,10,5,LGBMRegressor,6,0.15149327100478732,0
uruguaiana,10,5,LGBMRegressor,6,0.06943437273386512,0
jaragua-do-sul,10,5,LGBMRegressor,6,0.7657713787141013,0
rio-grande,10,5,LGBMRegressor,6,0.22392817983430963,0
araucaria,10,5,LGBMRegressor,6,0.30897658055404204,0
caxias-do-sul,10,5,LGBMRegressor,6,0.5507841432876254,0
sao-jose,10,5,LGBMRegressor,6,0.7233587697131028,0
guarapuava,10,5,LGBMRegressor,6,0.20268026594248031,0
tubarao,10,5,LGBMRegressor,6,0.20268026594248034,0
campo-largo,10,5,LGBMRegressor,6,0.2612908509050624,0
palhoca,10,5,LGBMRegressor,6,0.42766165142051815,0
bage,10,5,LGBMRegressor,6,0.11783747976911943,0
sao-leopoldo,10,5,LGBMRegressor,6,0.24332769929726294,0
lages,10,5,LGBMRegressor,6,0.17892666285694328,0
pinhais,10,5,LGBMRegressor,6,0.5454503345170465,0
colombo,10,5,LGBMRegressor,6,0.5615614521623065,0
codo,10,5,LGBMRegressor,6,0.298873786648543,0
blumenau,10,5,LGBMRegressor,6,1.0279038534408165,0
sapucaia-do-sul,10,5,LGBMRegressor,6,0.5534317708925339,0
fazenda-rio-grande,10,5,LGBMRegressor,6,0.24332769929726294,0
piraquara,10,5,LGBMRegressor,6,0.3413490279901435,0
cachoeirinha,10,5,LGBMRegressor,6,0.3136719303141918,0
novo-hamburgo,10,5,LGBMRegressor,6,0.5111339446164661,0
passo-fundo,10,5,LGBMRegressor,6,0.386729728035379,0
