cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
santo-andre,11,8,LGBMRegressor,6,6.250045580913801,0
taboao-da-serra,11,8,LGBMRegressor,6,4.066574145548813,0
vespasiano,11,8,LGBMRegressor,6,6.122832457604569,0
sao-jose-dos-campos,11,8,LGBMRegressor,6,9.92643918631542,0
botucatu,11,8,LGBMRegressor,6,3.383475835559694,0
conselheiro-lafaiete,11,8,LGBMRegressor,6,4.057183535862059,0
chapeco,11,8,LGBMRegressor,6,4.134057163314347,0
rio-claro,11,8,LGBMRegressor,6,18.950718019656566,0
tatui,11,8,LGBMRegressor,6,6.210303498171127,0
lavras,11,8,LGBMRegressor,6,6.195998490805332,0
gravatai,11,8,LGBMRegressor,6,3.8499104983775334,0
alvorada,11,8,LGBMRegressor,6,3.8114942791494117,0
diadema,11,8,LGBMRegressor,6,8.21468108688901,0
mogi-das-cruzes,11,8,LGBMRegressor,6,4.152142202533741,0
jacarei,11,8,LGBMRegressor,6,9.834253768770573,0
itapetininga,11,8,LGBMRegressor,6,4.080286509911919,0
marilia,11,8,LGBMRegressor,6,27.89320693249865,0
itanhaem,11,8,LGBMRegressor,6,10.979906148281971,0
braganca-paulista,11,8,LGBMRegressor,6,4.494931387323711,0
nova-friburgo,11,8,LGBMRegressor,6,3.7671024901510104,0
embu-das-artes,11,8,LGBMRegressor,6,4.1172858761049165,0
catanduva,11,8,LGBMRegressor,6,57.615992586177235,0
sumare,11,8,LGBMRegressor,6,25.320803804930378,0
limeira,11,8,LGBMRegressor,6,18.07825043538147,0
mairipora,11,8,LGBMRegressor,6,3.6341722273121553,0
votorantim,11,8,LGBMRegressor,6,5.0554635241237635,0
jandira,11,8,LGBMRegressor,6,3.5256678221619198,0
ourinhos,11,8,LGBMRegressor,6,16.337242358657306,0
sao-caetano-do-sul,11,8,LGBMRegressor,6,3.504377544316683,0
paranagua,11,8,LGBMRegressor,6,25.69474498329061,0
cotia,11,8,LGBMRegressor,6,3.2712489897486066,0
varginha,11,8,LGBMRegressor,6,3.9661209874451777,0
mogi-guacu,11,8,LGBMRegressor,6,24.53497478510149,0
itabuna,11,8,LGBMRegressor,6,5.098671230371471,0
jau,11,8,LGBMRegressor,6,16.11735132465383,0
teresopolis,11,8,LGBMRegressor,6,3.679573190671357,0
itaquaquecetuba,11,8,LGBMRegressor,6,5.682253634669521,0
garanhuns,11,8,LGBMRegressor,6,10.053033167257576,0
teofilo-otoni,11,8,LGBMRegressor,6,12.041328658756335,0
itapecerica-da-serra,11,8,LGBMRegressor,6,3.6191135483018915,0
viamao,11,8,LGBMRegressor,6,3.726349823327926,0
sorocaba,11,8,LGBMRegressor,6,18.14392149563711,0
resende,11,8,LGBMRegressor,6,6.625175228953997,0
parintins,11,8,LGBMRegressor,6,3.7548538128995466,0
itajai,11,8,LGBMRegressor,6,4.677668560220566,0
barbacena,11,8,LGBMRegressor,6,3.4197566282842464,0
cubatao,11,8,LGBMRegressor,6,9.471392549815139,0
guarulhos,11,8,LGBMRegressor,6,49.770032371115704,0
pouso-alegre,11,8,LGBMRegressor,6,3.39065022533891,0
barueri,11,8,LGBMRegressor,6,5.24708377105815,0
leme,11,8,LGBMRegressor,6,39.29234366694255,0
itapevi,11,8,LGBMRegressor,6,3.6457082012827766,0
