cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
criciuma,7,6,LGBMRegressor,6,0.22434857621339627,0
rio-grande,7,6,LGBMRegressor,6,0.22434857621339632,0
sapucaia-do-sul,7,6,LGBMRegressor,6,0.5524840132847181,0
pinhais,7,6,LGBMRegressor,6,0.543920610305526,0
uruguaiana,7,6,LGBMRegressor,6,0.07432922407541696,0
almirante-tamandare,7,6,LGBMRegressor,6,0.47345296509729096,0
novo-hamburgo,7,6,LGBMRegressor,6,0.5099055503103258,0
palhoca,7,6,LGBMRegressor,6,0.4266760445601814,0
sao-jose-dos-pinhais,7,6,LGBMRegressor,6,1.3461812537455113,0
fazenda-rio-grande,7,6,LGBMRegressor,6,0.24350312866253485,0
campo-largo,7,6,LGBMRegressor,6,0.26125708351718985,0
jaragua-do-sul,7,6,LGBMRegressor,6,0.7644129573341649,0
sao-jose,7,6,LGBMRegressor,6,0.7219205459075962,0
erechim,7,6,LGBMRegressor,6,0.24984680347857274,0
tubarao,7,6,LGBMRegressor,6,0.20339811609135702,0
bento-goncalves,7,6,LGBMRegressor,6,0.1531267892649204,0
lages,7,6,LGBMRegressor,6,0.18002584150629114,0
pelotas,7,6,LGBMRegressor,6,0.12035914411094178,0
colombo,7,6,LGBMRegressor,6,0.5605355251495248,0
cachoeirinha,7,6,LGBMRegressor,6,0.31347948144387405,0
araucaria,7,6,LGBMRegressor,6,0.3084472949245991,0
bage,7,6,LGBMRegressor,6,0.12035914411094178,0
sao-leopoldo,7,6,LGBMRegressor,6,0.24350312866253485,0
codo,7,6,LGBMRegressor,6,0.298844265909278,0
blumenau,7,6,LGBMRegressor,6,1.0256873347930593,0
piraquara,7,6,LGBMRegressor,6,0.34087001235845016,0
caxias-do-sul,7,6,LGBMRegressor,6,0.5496443699294763,0
passo-fundo,7,6,LGBMRegressor,6,0.3864403426968771,0
