cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
apucarana,11,4,LGBMRegressor,6,8.248379821973918,0
petrolina,11,4,LGBMRegressor,6,22.60585966903933,0
simoes-filho,11,4,LGBMRegressor,6,6.929499235561246,0
joinville,11,4,LGBMRegressor,6,56.546354549299906,0
santa-maria,11,4,LGBMRegressor,6,5.009291828719553,0
corumba,11,4,LGBMRegressor,6,22.460459194797437,0
foz-do-iguacu,11,4,LGBMRegressor,6,386.89153172741067,0
ariquemes,11,4,LGBMRegressor,6,2.5435795325255137,0
ponta-grossa,11,4,LGBMRegressor,6,2.0623457916745247,0
balneario-camboriu,11,4,LGBMRegressor,6,3.8509611083778474,0
brusque,11,4,LGBMRegressor,6,2.0265861746919147,0
londrina,11,4,LGBMRegressor,6,427.862466404081,0
umuarama,11,4,LGBMRegressor,6,62.44322919184315,0
toledo,11,4,LGBMRegressor,6,36.110725535964384,0
sinop,11,4,LGBMRegressor,6,47.67760757266054,0
florianopolis,11,4,LGBMRegressor,6,1.9830471587204679,0
vilhena,11,4,LGBMRegressor,6,11.094912140282013,0
crato,11,4,LGBMRegressor,6,14.265518248182325,0
maringa,11,4,LGBMRegressor,6,111.04975776863773,0
brasilia,11,4,LGBMRegressor,6,609.6286657122097,0
valparaiso-de-goias,11,4,LGBMRegressor,6,22.216115284767103,0
cambe,11,4,LGBMRegressor,6,50.080103220171,0
novo-gama,11,4,LGBMRegressor,6,27.09008714794291,0
vitoria-da-conquista,11,4,LGBMRegressor,6,31.245716861486727,0
juazeiro-do-norte,11,4,LGBMRegressor,6,15.77439809571383,0
guaratingueta,11,4,LGBMRegressor,6,25.223691191428927,0
arapongas,11,4,LGBMRegressor,6,4.735749575060491,0
tangara-da-serra,11,4,LGBMRegressor,6,11.82457797718396,0
cascavel,11,4,LGBMRegressor,6,61.50570448453213,0
