cidades,n_cluster,cluster_idx,model_name,window_size,rmse,time
campina-grande,9,6,LGBMRegressor,6,9.020111981878255,0
cachoeiro-de-itapemirim,9,6,LGBMRegressor,6,74.22490371588556,0
porto-alegre,9,6,LGBMRegressor,6,12.482613694613702,0
canoas,9,6,LGBMRegressor,6,9.235149181171309,0
americana,9,6,LGBMRegressor,6,53.57616896887939,0
francisco-morato,9,6,LGBMRegressor,6,20.903919347724234,0
juiz-de-fora,9,6,LGBMRegressor,6,76.06413317915828,0
ribeirao-pires,9,6,LGBMRegressor,6,9.809407261522098,0
ribeirao-preto,9,6,LGBMRegressor,6,136.54236190244902,0
birigui,9,6,LGBMRegressor,6,54.48461176393649,0
sao-jose-do-rio-preto,9,6,LGBMRegressor,6,153.68985113005044,0
vitoria-de-santo-antao,9,6,LGBMRegressor,6,9.639855589327595,0
sao-paulo,9,6,LGBMRegressor,6,107.62779462579302,0
guarapari,9,6,LGBMRegressor,6,21.445687262252758,0
paulo-afonso,9,6,LGBMRegressor,6,9.182280222853601,0
uba,9,6,LGBMRegressor,6,19.914623778803666,0
caruaru,9,6,LGBMRegressor,6,8.605938222692279,0
araxa,9,6,LGBMRegressor,6,17.820908357225413,0
caxias,9,6,LGBMRegressor,6,9.223155048267909,0
campinas,9,6,LGBMRegressor,6,181.56438362822342,0
sao-carlos,9,6,LGBMRegressor,6,50.05774661275907,0
dourados,9,6,LGBMRegressor,6,46.99637018191443,0
anapolis,9,6,LGBMRegressor,6,71.45049133360722,0
cabo-de-santo-agostinho,9,6,LGBMRegressor,6,24.35500360778374,0
assis,9,6,LGBMRegressor,6,29.84793353469847,0
santa-rita,9,6,LGBMRegressor,6,9.26524514186117,0
itabira,9,6,LGBMRegressor,6,13.131037782076882,0
belo-horizonte,9,6,LGBMRegressor,6,971.9135450228287,0
muriae,9,6,LGBMRegressor,6,21.463473122232102,0
barra-do-pirai,9,6,LGBMRegressor,6,14.245862133163756,0
santa-luzia,9,6,LGBMRegressor,6,75.39361792518301,0
varzea-paulista,9,6,LGBMRegressor,6,15.489428838732769,0
paulinia,9,6,LGBMRegressor,6,16.291278932047042,0
igarassu,9,6,LGBMRegressor,6,13.767871639105893,0
suzano,9,6,LGBMRegressor,6,11.255044679284932,0
maua,9,6,LGBMRegressor,6,12.070992932933855,0
sao-jose-dos-pinhais,9,6,LGBMRegressor,6,9.565363968534857,0
presidente-prudente,9,6,LGBMRegressor,6,83.38498017123383,0
valinhos,9,6,LGBMRegressor,6,9.617544822644714,0
campo-grande,9,6,LGBMRegressor,6,297.29014118987004,0
mossoro,9,6,LGBMRegressor,6,21.731546138896235,0
curitiba,9,6,LGBMRegressor,6,8.470941939418097,0
sobral,9,6,LGBMRegressor,6,9.387552308139211,0
poa,9,6,LGBMRegressor,6,9.80333475074081,0
caraguatatuba,9,6,LGBMRegressor,6,37.04852989236529,0
sertaozinho,9,6,LGBMRegressor,6,32.86083514132134,0
contagem,9,6,LGBMRegressor,6,214.4238678917253,0
santa-barbara-doeste,9,6,LGBMRegressor,6,39.61179022898382,0
jundiai,9,6,LGBMRegressor,6,28.353451214100136,0
carapicuiba,9,6,LGBMRegressor,6,30.14676182690422,0
sao-lourenco-da-mata,9,6,LGBMRegressor,6,8.8463899940618,0
sao-jose-de-ribamar,9,6,LGBMRegressor,6,8.710017993377624,0
ibirite,9,6,LGBMRegressor,6,79.60328257484262,0
itatiba,9,6,LGBMRegressor,6,9.275835275662079,0
araras,9,6,LGBMRegressor,6,18.185072224506786,0
