horizon,city,model,errorMetric,errorValue,modelTime
12,palmas,arimaSimple,nmse,30.997661013297172,0.7500000000000002
12,palmas,arimaSimple,mape,497645029676339.25,0.7500000000000002
12,palmas,local_LGBM,nmse,18.092296436312438,5.11
12,palmas,local_LGBM,mape,102021199304893.48,5.11
12,palmas,all_LGBM,nmse,22.05441806930357,83.08999999999999
12,palmas,all_LGBM,mape,181062044086469.66,83.08999999999999
12,palmas,meso_LGBM,nmse,18.092296436312438,4.38
12,palmas,meso_LGBM,mape,102021199304893.48,4.38
12,palmas,micro_LGBM,nmse,18.092296436312438,4.37
12,palmas,micro_LGBM,mape,102021199304893.48,4.37
12,palmas,kshape6_LGBM,nmse,18.076512441732444,22.28
12,palmas,kshape6_LGBM,mape,262234542931597.62,22.28
12,palmas,kshape17_LGBM,nmse,22.08232336920158,15.11
12,palmas,kshape17_LGBM,mape,205032723658971.34,15.11
